text,category
just got postage stamp for 229 inr,Other
"paid for video game, amount was 887",Entertainment
gift 8137 inr,Shopping
purchase of Netflix subscription - 906,Entertainment
protein powder cost 552,Personal Care
flight ticket 6471 rs,Transport
monthly new shirt payment of 5312,Shopping
spent 5359 on coursera specialization,Education
monthly water bill payment of 10494,Utilities
monthly software license payment of 862,Other
shampoo 55 rs,Personal Care
exam fee 4424 inr,Education
just got gym membership for 540 rupees,Personal Care
spent 935 on new shirt,Shopping
movie tickets cost 68,Entertainment
monthly car service payment of 10350,Transport
purchase of exam fee - 1277,Education
paid 994 rupees for postage stamp,Other
paid 3805 rs for gas cylinder,Utilities
recharged my pen and notebooks with 2698,Education
spent 9050 on bus ticket,Transport
"paid for gym membership, amount was 836",Personal Care
new shirt cost 6189,Shopping
just got doctor's visit fee for 2615 rupees,Health
monthly house rent payment of 11632,Utilities
just got DTH recharge for 13139 rupees,Utilities
hospital bill cost 3440,Health
bought uber ride for 10179,Transport
monthly mobile phone payment of 4140,Shopping
bought electricity bill for 7208 inr,Utilities
spent 54 on Netflix subscription,Entertainment
"paid for exam fee, amount was 9807",Education
lab test cost 977,Health
monthly wedding present payment of 986,Gifts & Donations
spent 4584 on lab test,Health
hospital bill cost 4103,Health
purchase of breakfast - 912,Food
bought metro card recharge for 13582 inr,Transport
Spotify premium cost 711,Entertainment
monthly haircut payment of 93,Personal Care
monthly postage stamp payment of 682,Other
purchase of uber ride - 4376,Transport
"paid for textbooks, amount was 7890",Education
monthly amusement park entry payment of 841,Entertainment
recharged my shampoo with 210,Personal Care
just got pastries for 942 inr,Food
bought metro card recharge for 5940,Transport
spent 785 on gift for anniversary,Gifts & Donations
monthly breakfast payment of 989,Food
paid 521 rupees for shampoo,Personal Care
bought home repair for 949,Other
bought shampoo for 85 rupees,Personal Care
just got DTH recharge for 14448 rs,Utilities
house rent cost 4944,Utilities
paid 1962 rupees for band-aids,Health
bus ticket cost 6689,Transport
recharged my amusement park entry with 598,Entertainment
bought amusement park entry for 408,Entertainment
jeans 2744 rupees,Shopping
recharged my pen and notebooks with 14577,Education
Spotify premium 88 rupees,Entertainment
laptop cost 9798,Shopping
paid 4038 rupees for health insurance premium,Health
shampoo 339 rs,Personal Care
monthly donation to charity payment of 52,Gifts & Donations
monthly magazine subscription payment of 994,Other
recharged my cosmetics with 410,Personal Care
monthly pizza payment of 994,Food
purchase of magazine subscription - 679,Other
paid 498 inr for lab test,Health
bought jeans for 7904 inr,Shopping
contribution to fundraiser cost 479,Gifts & Donations
purchase of bowling with friends - 224,Entertainment
paid 825 for snacks,Food
purchase of sports match ticket - 779,Entertainment
"paid for jeans, amount was 6285",Shopping
just got bus ticket for 13330,Transport
"paid for amusement park entry, amount was 416",Entertainment
paid 726 rs for pastries,Food
spent 1143 on band-aids,Health
just got haircut for 253 rs,Personal Care
spent 1213 on doctor's visit fee,Health
purchase of vegetables - 337,Food
"paid for gas cylinder, amount was 9385",Utilities
recharged my postage stamp with 331,Other
recharged my laundry service with 65,Other
"paid for soap, amount was 586",Personal Care
vegetables cost 620,Food
paid 839 rs for breakfast,Food
spent 787 on donation to charity,Gifts & Donations
"paid for soap, amount was 840",Personal Care
bought Spotify premium for 650,Entertainment
monthly concert tickets payment of 153,Entertainment
paid 12132 rs for stationery,Education
purchase of doctor's visit fee - 4913,Health
monthly wedding present payment of 431,Gifts & Donations
monthly gift for anniversary payment of 422,Gifts & Donations
paid 13851 rs for parking fee,Transport
"paid for software license, amount was 88",Other
"paid for laundry service, amount was 494",Other
purchase of bowling with friends - 738,Entertainment
subscription service cost 569,Utilities
monthly electricity bill payment of 14277,Utilities
monthly salon visit payment of 357,Personal Care
purchase of concert tickets - 634,Entertainment
bought contribution to fundraiser for 404 inr,Gifts & Donations
bought flight ticket for 3347 inr,Transport
"paid for medicines, amount was 3072",Health
paid 507 rs for book,Shopping
gift for anniversary cost 940,Gifts & Donations
spent 2704 on health insurance premium,Health
purchase of postage stamp - 264,Other
paid 513 rupees for amusement park entry,Entertainment
paid 123 rs for sports match ticket,Entertainment
"paid for soap, amount was 966",Personal Care
"paid for car service, amount was 9864",Transport
